Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
møblert,adjective,medium,5.465704902,few,2,medium,7,6,2,
moderne,adjective,low,3.917037804,few,0,low,7,6,3,
modig,adjective,low,4.12,few,3,medium,5,4,2,
mørk,adjective,medium,5.690067388,some,8,medium,4,4,1,
morsk,adjective,medium,5.467096199,some,4,low,5,4,1,
morsom,adjective,medium,4.651686242,few,3,medium,6,5,2,
myk,adjective,medium,5.257057958,some,11,medium,3,3,1,
nåde,noun,low,3.763311659,some,14,high,4,4,2,
natur,noun,medium,6.22760256,few,1,low,5,5,2,
naturlig,adjective,low,3.833674109,few,1,medium,8,6,3,
nervøs,adjective,medium,4.86,few,2,medium,6,6,2,
normal,adjective,low,3.422025442,few,2,medium,6,6,2,
nøtter,noun,high,6.69,some,10,medium,6,5,2,
nøyaktig,adjective,low,3.893630564,few,1,medium,8,6,3,
nudler,noun,high,6.651796864,few,0,low,6,6,2,
nugatti,noun,high,6.83,no info,,,7,no info,no info,
nuppete,adjective,medium,6.009753805,some,15,low,7,6,3,
ny,adjective,low,4.094643446,many,28,high,2,2,1,
nydelig,adjective,medium,4.534758558,few,3,medium,7,6,3,
nysådd,adjective,medium,6.084572511,few,1,low,6,5,2,
nysgjerrig,adjective,low,4.26,few,1,medium,10,6,3,
nytte,noun,low,2.422245387,many,29,high,5,4,2,
observant,adjective,low,4.116828249,few,3,low,9,9,3,
ødelagt,adjective,medium,4.958900482,few,2,medium,7,7,3,
øl,noun,high,6.812622669,some,12,high,2,2,1,
ondskap,noun,low,3.890971792,few,1,low,7,6,2,
opium,noun,medium,4.50275648,few,0,low,5,5,3,
oppmerksom,adjective,low,4.144478818,few,2,medium,10,9,3,
opptatt,adjective,low,4.103523697,some,5,medium,7,5,2,
oransje,adjective,high,6.624851689,few,2,low,7,6,3,
ordentlig,adjective,low,3.76038142,few,1,medium,9,5,2,
overrasket,adjective,medium,5.01,no info,,,10,no info,no info,
